ticker,TFCFA UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-08,0.6154
2012-02-09,-2.0897
2012-02-10,-0.1562
2012-02-13,1.1992
2012-02-14,-1.3395000000000001
2012-02-15,-1.6188
2012-02-16,1.0085
2012-02-17,2.9953
2012-02-21,-0.3061
2012-02-22,-1.2282
2012-02-23,1.8135
2012-02-24,-0.458
2012-02-27,-0.3579
2012-02-28,1.6419000000000001
2012-02-29,0.3029
2012-03-01,0.5033
2012-03-02,-0.8513
2012-03-05,-1.5657
2012-03-06,-2.0523
2012-03-07,1.7810000000000001
2012-03-08,0.8749
2012-03-09,1.1735
2012-03-12,-1.4372
2012-03-13,2.5694
2012-03-14,0.3006
2012-03-15,0.8492
2012-03-16,-0.8915
2012-03-19,0.5497
2012-03-20,-1.1928
2012-03-21,0.4527
2012-03-22,-1.2519
2012-03-23,0.3043
2012-03-26,2.0728
2012-03-27,0.2972
2012-03-28,-2.5185
2012-03-29,-1.5198
2012-03-30,1.286
2012-04-02,1.1681
2012-04-03,0.1004
2012-04-04,-2.6078
2012-04-05,0.3605
2012-04-09,-2.3602
2012-04-10,-1.9443000000000001
2012-04-11,0.9646
2012-04-12,2.6008
2012-04-13,-0.9312
2012-04-16,-0.2089
2012-04-17,1.4652
2012-04-18,-0.6189
2012-04-19,-1.972
2012-04-20,0.6353
2012-04-23,-0.1578
2012-04-24,1.3172
2012-04-25,0.208
2012-04-26,1.7644
2012-04-27,-0.153
2012-04-30,0.1021
2012-05-01,0.9694
2012-05-02,0.5053
2012-05-03,-0.905
2012-05-04,-2.689
2012-05-07,1.147
2012-05-08,-0.3608
2012-05-09,0.2587
2012-05-10,4.8504000000000005
2012-05-11,-0.4921
2012-05-14,-0.3956
2012-05-15,-1.0427
2012-05-16,-1.0035
2012-05-17,-1.3685
2012-05-18,-0.9764
2012-05-21,1.1936
2012-05-22,0.2051
2012-05-23,-1.8424
2012-05-24,1.0428
2012-05-25,0.258
2012-05-29,1.3381
2012-05-30,-1.4727999999999999
2012-05-31,-1.0309
2012-06-01,-3.3854
2012-06-04,0.2156
2012-06-05,0.1076
2012-06-06,4.3525
2012-06-07,-0.6694
2012-06-08,0.7776
2012-06-11,-1.5432000000000001
2012-06-12,2.9257999999999997
2012-06-13,-0.7107
2012-06-14,1.5337
2012-06-15,1.0574
2012-06-18,0.0997
2012-06-19,0.7466
2012-06-20,1.1858
2012-06-21,-1.5869
2012-06-22,1.0171
2012-06-25,-1.3261
2012-06-26,8.3126
2012-06-27,2.5276
2012-06-28,-1.4343
2012-06-29,1.3643
2012-07-02,2.4226
2012-07-03,-0.438
2012-07-05,-1.2758
2012-07-06,-1.3815
2012-07-09,-0.9489
2012-07-10,-0.2737
2012-07-11,-0.7777
2012-07-12,-0.5994
2012-07-13,1.8089
2012-07-16,-0.4556
2012-07-17,2.0137
2012-07-18,0.3589
2012-07-19,0.1341
2012-07-20,-1.8304
2012-07-23,-0.7731
2012-07-24,-0.275
2012-07-25,1.4706000000000001
2012-07-26,2.3098
2012-07-27,3.4529
2012-07-30,-0.4279
2012-07-31,-1.0743
2012-08-01,-0.0434
2012-08-02,0.565
2012-08-03,1.4261
2012-08-06,0.5539
2012-08-07,1.1017
2012-08-08,-0.5868
2012-08-09,-0.2108
2012-08-10,-1.1829
2012-08-13,-0.4275
2012-08-14,0.0429
2012-08-15,0.4292
2012-08-16,0.4701
2012-08-17,-1.0634
2012-08-20,-0.8598
2012-08-21,1.1709
2012-08-22,0.8573
2012-08-23,-0.9775
2012-08-24,0.0429
2012-08-27,0.3003
2012-08-28,-0.4277
2012-08-29,0.4725
2012-08-30,-1.1116
2012-08-31,1.1241
2012-09-04,0.5558
2012-09-05,0.9779
2012-09-06,3.1579
2012-09-07,-0.0816
2012-09-10,-1.0008
