ticker,AXGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-11,14.1892
2019-03-12,4.7337
2019-03-13,-1.1299
2019-03-14,-18.8571
2019-03-15,0.0
2019-03-18,-2.1127
2019-03-19,0.7194
2019-03-20,2.1429
2019-03-21,0.6993
2019-03-22,-3.4722
2019-03-25,-2.1583
2019-03-26,0.7353
2019-03-27,-1.4599
2019-03-28,1.4815
2019-03-29,-2.9196999999999997
2019-04-01,-5.2632
2019-04-02,3.9683
2019-04-03,-4.5802
2019-04-04,0.0
2019-04-05,-4.8
2019-04-08,-1.6806999999999999
2019-04-09,-2.5641
2019-04-10,-4.386
2019-04-11,-1.8349
2019-04-12,0.9346
2019-04-15,-1.8519
2019-04-16,0.0
2019-04-17,-1.8868
2019-04-18,5.7692
2019-04-22,0.4545
2019-04-23,4.0724
2019-04-24,0.8696
2019-04-25,-6.8966
2019-04-26,5.5556
2019-04-29,0.0
2019-04-30,-3.5088
2019-05-01,0.0
2019-05-02,3.1818
2019-05-03,-0.4405
2019-05-06,0.885
2019-05-07,-4.386
2019-05-08,5.9633
2019-05-09,-6.3853
2019-05-10,-2.7746
2019-05-13,-7.61
2019-05-14,3.3462
2019-05-15,-0.9963
2019-05-16,-4.6541
2019-05-17,-2.5066
2019-05-20,-0.1353
2019-05-21,4.336
2019-05-22,-2.5974
2019-05-23,0.2667
2019-05-24,-4.3883
2019-05-28,-2.2253
2019-05-29,-1.9915
2019-05-30,1.4514
2019-05-31,-5.5794
2019-06-03,3.1818
2019-06-04,0.0
2019-06-05,0.0
2019-06-06,-16.4464
2019-06-07,-21.2654
2019-06-10,-10.267900000000001
2019-06-11,-1.99
2019-06-12,6.0914
2019-06-13,16.0287
2019-06-14,5.567
2019-06-17,7.8125
2019-06-18,1.6303999999999998
2019-06-19,-0.5348
2019-06-20,3.7634
2019-06-21,18.4801
2019-06-24,-6.5598
2019-06-25,-0.312
2019-06-26,-4.0689
2019-06-27,0.9788
2019-06-28,0.6462
2019-07-01,3.0498
2019-07-02,-2.0249
2019-07-03,4.1335
2019-07-05,-1.9847000000000001
2019-07-08,-2.8037
2019-07-09,3.0449
2019-07-10,3.1104
2019-07-11,10.5581
2019-07-12,0.6821
2019-07-15,-0.271
2019-07-16,3.2609
2019-07-17,-1.7105000000000001
2019-07-18,2.6774
2019-07-19,-7.5619
2019-07-22,-7.1932
2019-07-23,-3.4954
2019-07-24,5.5118
2019-07-25,-4.6269
2019-07-26,2.8169
2019-07-29,1.5221
2019-07-30,7.3463
2019-07-31,-3.0726
2019-08-01,0.4323
2019-08-02,-6.3128
2019-08-05,-1.5314
2019-08-06,-2.0218
2019-08-07,0.1587
2019-08-08,4.7544
2019-08-09,-4.236
2019-08-12,3.7915
2019-08-13,3.3486000000000002
2019-08-14,-0.4418
2019-08-15,-2.071
