ticker,SITE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-04,-0.5675
2019-12-05,0.6735
2019-12-06,1.2473
2019-12-09,-2.4975
2019-12-10,-0.8155
2019-12-11,1.3202
2019-12-12,-0.0229
2019-12-13,1.7263
2019-12-16,-0.8878
2019-12-17,1.5081
2019-12-18,-1.3852
2019-12-19,-1.7218
2019-12-20,4.4836
2019-12-23,-0.6398
2019-12-24,0.7772
2019-12-26,-0.1983
2019-12-27,-0.1435
2019-12-30,-0.2211
2019-12-31,0.4321
2020-01-02,-0.0221
2020-01-03,-3.0674
2020-01-06,-0.5805
2020-01-07,1.7747000000000002
2020-01-08,-0.1575
2020-01-09,2.0845
2020-01-10,0.4194
2020-01-13,1.1871
2020-01-14,0.5757
2020-01-15,2.4085
2020-01-16,1.0863
2020-01-17,-1.2311
2020-01-21,1.014
2020-01-22,-1.6104
2020-01-23,-0.2551
2020-01-24,0.1705
2020-01-27,2.7976
2020-01-28,-0.3208
2020-01-29,4.578
2020-01-30,-1.2905
2020-01-31,-2.9063
2020-02-03,2.1647
2020-02-04,1.8451
2020-02-05,1.1646
2020-02-06,-0.305
2020-02-07,-2.3589
2020-02-10,0.3942
2020-02-11,2.6782
2020-02-12,1.7258
2020-02-13,0.3952
2020-02-14,1.4978
2020-02-18,9.0625
2020-02-19,-0.9715
2020-02-20,2.6452
2020-02-21,-4.1983
2020-02-24,-1.532
2020-02-25,-5.8978
2020-02-26,-4.0373
2020-02-27,0.0801
2020-02-28,-0.6606
2020-03-02,0.2418
2020-03-03,3.7089
2020-03-04,4.9041
2020-03-05,-2.7531
2020-03-06,-5.4912
2020-03-09,-13.2891
2020-03-10,5.2632
2020-03-11,-4.3172
2020-03-12,-11.0843
2020-03-13,-2.9126
2020-03-16,-23.52
2020-03-17,8.9261
2020-03-18,-2.2087
2020-03-19,7.9869
2020-03-20,-11.8521
2020-03-23,-1.6678
2020-03-24,15.3523
2020-03-25,4.7749
2020-03-26,7.1904
2020-03-27,-5.3583
2020-03-30,5.2481
2020-03-31,-0.2439
2020-04-01,-7.172
2020-04-02,2.1803
2020-04-03,-11.9863
2020-04-06,6.8337
2020-04-07,0.2894
2020-04-08,10.8732
2020-04-09,5.3554
2020-04-13,-3.4840999999999998
2020-04-14,4.1487
2020-04-15,-4.5137
2020-04-16,-3.4674
2020-04-17,7.212
2020-04-20,-6.151
2020-04-21,-4.6855
2020-04-22,6.6129999999999995
2020-04-23,1.0155
2020-04-24,5.2303
2020-04-27,7.2554
2020-04-28,4.0443
2020-04-29,11.9158
2020-04-30,-8.3833
2020-05-01,-2.7981
2020-05-04,-1.8456000000000001
2020-05-05,8.8694
2020-05-06,-1.5751
2020-05-07,-1.4346999999999999
2020-05-08,0.7726
2020-05-11,1.1222
2020-05-12,-3.0107
2020-05-13,-3.1381
2020-05-14,0.7719
2020-05-15,3.006
2020-05-18,8.338
2020-05-19,-2.9017
2020-05-20,-0.8676
2020-05-21,2.6364
2020-05-22,2.116
2020-05-26,2.2062
2020-05-27,6.284
2020-05-28,0.4935
2020-05-29,0.3966
2020-06-01,-0.2634
2020-06-02,3.1878
2020-06-03,1.5721
2020-06-04,-1.2147999999999999
2020-06-05,0.2004
2020-06-08,3.6909
2020-06-09,-1.508
2020-06-10,1.2995999999999999
2020-06-11,-8.0141
2020-06-12,0.4681
2020-06-15,4.2312
2020-06-16,2.6273
2020-06-17,-0.7022
2020-06-18,-1.5487
2020-06-19,-0.2455
2020-06-22,2.5795
2020-06-23,0.3465
2020-06-24,-4.1353
2020-06-25,-0.2402
2020-06-26,-3.537
2020-06-29,5.0202
2020-06-30,4.1678
2020-07-01,-2.4919000000000002
2020-07-02,-0.8819
2020-07-06,2.2969
2020-07-07,-1.8637000000000001
2020-07-08,-2.5773
2020-07-09,-1.0489
2020-07-10,1.4165
2020-07-13,0.1017
2020-07-14,3.8071
2020-07-15,3.4271
2020-07-16,0.3701
2020-07-17,1.4405999999999999
2020-07-20,2.3584
2020-07-21,-1.8994
2020-07-22,0.5977
2020-07-23,0.6946
2020-07-24,0.9889
2020-07-27,3.0695
2020-07-28,-3.9122
2020-07-29,5.3428
2020-07-30,-3.0368
2020-07-31,4.1487
