ticker,JNCE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-10-17,0.2882
2019-10-18,0.0
2019-10-21,1.1494
2019-10-22,0.2841
2019-10-23,11.0482
2019-10-24,0.7653
2019-10-25,-2.5316
2019-10-28,-0.2597
2019-10-29,-2.3438
2019-10-30,-0.5333
2019-10-31,-3.0831
2019-11-01,5.1176
2019-11-04,2.1053
2019-11-05,-2.5773
2019-11-06,-1.3228
2019-11-07,7.2386
2019-11-08,1.5
2019-11-11,15.7635
2019-11-12,4.8936
2019-11-13,13.3874
2019-11-14,-5.9033999999999995
2019-11-15,-0.3802
2019-11-18,-2.4809
2019-11-19,0.3914
2019-11-20,-2.729
2019-11-21,-4.2084
2019-11-22,0.4184
2019-11-25,-0.8333
2019-11-26,-1.8908
2019-11-27,3.4261
2019-11-29,12.0083
2019-12-02,20.5176
2019-12-03,8.4356
2019-12-04,11.7397
2019-12-05,-3.7342
2019-12-06,2.4326
2019-12-09,4.3646
2019-12-10,3.2595
2019-12-11,8.8743
2019-12-12,0.7659
2019-12-13,0.0
2019-12-16,-8.3062
2019-12-17,1.0065
2019-12-18,-6.3306000000000004
2019-12-19,3.8798
2019-12-20,-0.241
2019-12-23,0.9662
2019-12-24,6.9378
2019-12-26,-1.3982
2019-12-27,-4.481
2019-12-30,-3.6223
2019-12-31,7.5786
2020-01-02,-0.3436
2020-01-03,-6.4368
2020-01-06,-2.8256
2020-01-07,-1.7067
2020-01-08,-0.7074
2020-01-09,3.3031
2020-01-10,-6.8339
2020-01-13,-4.7106
2020-01-14,5.0847
2020-01-15,3.3602
2020-01-16,-2.0806
2020-01-17,-3.8513
2020-01-21,-0.6906
2020-01-22,-4.1029
2020-01-23,-5.2937
2020-01-24,-3.3691
2020-01-27,2.3772
2020-01-28,4.644
2020-01-29,0.8876
2020-01-30,-7.3314
2020-01-31,-0.4747
2020-02-03,4.1335
2020-02-04,-0.458
2020-02-05,8.6656
2020-02-06,-9.386
2020-02-07,-5.6075
2020-02-10,-2.8053
2020-02-11,5.4329
2020-02-12,-2.7375
2020-02-13,-4.4702
2020-02-14,1.2132
2020-02-18,-0.6849
2020-02-19,1.0345
2020-02-20,-2.7304
2020-02-21,-7.3684
2020-02-24,9.0909
2020-02-25,-3.125
2020-02-26,-5.2867
2020-02-27,-13.9073
2020-02-28,-0.6593
2020-03-02,9.292
2020-03-03,2.4291
2020-03-04,3.9526
2020-03-05,-10.2662
2020-03-06,-7.839
2020-03-09,-10.1149
2020-03-10,6.1381
2020-03-11,3.1325
2020-03-12,-22.6636
2020-03-13,7.2508
2020-03-16,-18.0282
2020-03-17,21.3058
2020-03-18,-5.949
2020-03-19,16.2651
2020-03-20,0.7772
2020-03-23,7.1979
2020-03-24,3.8369
2020-03-25,14.3187
2020-03-26,1.0101
2020-03-27,-5.6
2020-03-30,5.7203
2020-03-31,-4.8096
2020-04-01,-12.2105
2020-04-02,6.9544
2020-04-03,-4.4843
2020-04-06,16.4319
2020-04-07,-8.871
2020-04-08,0.885
2020-04-09,4.1667
2020-04-13,1.0526
2020-04-14,7.2917
2020-04-15,-4.6602
2020-04-16,-3.4623
2020-04-17,5.6962
2020-04-20,-2.9939999999999998
2020-04-21,-6.7901
2020-04-22,1.5453000000000001
2020-04-23,3.6957
2020-04-24,-1.8868
2020-04-27,8.1197
2020-04-28,8.498
2020-04-29,-4.5537
2020-04-30,-6.4885
2020-05-01,0.6122
2020-05-04,3.4483
2020-05-05,4.7059
2020-05-06,-6.1798
2020-05-07,-3.1936
2020-05-08,-2.268
2020-05-11,3.5865
2020-05-12,0.611
2020-05-13,-2.2267
2020-05-14,-8.2816
2020-05-15,3.6117
2020-05-18,9.1503
2020-05-19,-3.3932
2020-05-20,4.5455
2020-05-21,8.1028
2020-05-22,3.1079
2020-05-26,-3.7234
2020-05-27,4.6961
2020-05-28,-4.8373
2020-05-29,-0.3697
2020-06-01,3.154
2020-06-02,-0.7194
2020-06-03,1.6303999999999998
2020-06-04,2.6738
2020-06-05,12.5
2020-06-08,-2.3148
2020-06-09,-2.5276
2020-06-10,-2.107
2020-06-11,-10.596
2020-06-12,2.963
2020-06-15,-3.4173
2020-06-16,10.2421
2020-06-17,1.5203
2020-06-18,1.9967000000000001
2020-06-19,3.0995
2020-06-22,6.0127
2020-06-23,2.2388
2020-06-24,0.5839
2020-06-25,7.402
2020-06-26,2.4324
2020-06-29,-3.6939
2020-06-30,-5.4795
2020-07-01,-3.1884
2020-07-02,-2.5449
2020-07-06,0.0
2020-07-07,-2.9186
2020-07-08,0.6329
2020-07-09,0.3145
2020-07-10,-7.5235
2020-07-13,-13.8983
2020-07-14,0.7874
2020-07-15,3.0273
2020-07-16,-1.0427
2020-07-17,4.023
2020-07-20,-0.9208
2020-07-21,-3.7175000000000002
2020-07-22,-0.1931
2020-07-23,-1.9342000000000001
2020-07-24,-4.142
2020-07-27,1.0288
2020-07-28,-3.2587
2020-07-29,0.4211
2020-07-30,3.9832
2020-07-31,-7.6613
